,level_0,index,input,label
0,0,4105,"About a half size too large, but love the shoe.",clothing
1,1,1512,Not as roomy as I thought the would be.,clothing
2,2,5051,Granddaughter lobed the shoes when she got them but she never wears them as they are too hard to get on and off and are a bit too narrow,clothing
3,3,3001,AMAZING shoes and excellent seller. The shoes arrived on time and in their original box. They were brand new and great condition. I'm still wearing them almost every day.,clothing
4,4,3282,Didn't come at the estimated time but all in all good product,clothing
5,5,5134,You can't go wrong with Converse.,clothing
6,6,3470,"Love them,  I only wish they bad some arch support.",clothing
7,7,4960,Love these shoes! Very happy.,clothing
8,8,6469,"Awesome shoes super comfortable, been wearing converse for years. Buy a size down because converse sizes run smaller.",clothing
9,9,2115,My daughter loves her ALL STARS!!!,clothing
10,10,7863,I bought them like 4 months ago and the soles of both shoes is taking off to the sides. I'm really disappointed about it.,clothing
11,11,7477,These are obviously a classic. They are narrow so I buy mine a bit bigger than I normally would (after snug pairs left my bunion feet aching and numb) - this does the trick. For me a little extra room in the toe box is a worthy trade for a comfortable width.,clothing
12,12,5693,My son loves his new converse! Very happy!,clothing
13,13,6149,Too large. Look nothing like the picture. Good thing these aren't for me. I won't be ordering any for myself from here.,clothing
14,14,686,"This broom held together through all of Halloween with my daughter being a witch. That was all I was looking for it to do, and it did that well. It all held up to my 19m old beating is around the house ;)",clothing
15,15,9214,Great sneakers. Fit well!,clothing
16,16,3083,"I've bought 6 pairs of New Balance, Skechers, and PF Flyers from Amazon, and these are the first pair I've had to return for not fitting true to size. I wear size 11 and these are fitting like size 11.5 or 12. Other than that, I loved these.",clothing
17,17,2127,"The item was size 4, box was size 5. Ugh...",clothing
18,18,326,"Like the design but for my body type it's a little long and baggy. Not quite long enough to be a dress and a little too long as a shirt.im 5.2 and 140lbs, 34d.
Soft stretchy fabric.",clothing
19,19,768,My daughter was a porate in a play so we needed a sword. This is a good durable sword. Not cheap looking like some others you see.,clothing
20,20,5607,My new favorite shoe!,clothing
21,21,9201,Everything was as expected and arrived ahead of time,clothing
22,22,6414,"I am an 8 US women, but I ordered 7.5 and it fits good, an 8 would have been too big.",clothing
23,23,9983,"I wear a 7 1/2 in Nike and I ordered a size 5 in converse and they fit perfect! I wish I had ordered a pair sooner, you can wear them with everything!",clothing
24,24,5210,Run a little large but can make it work. Classic sneaks that look great with jeans.,clothing
25,25,9977,They run really big. In the picture they are really cute but when I got them I was pretty disappointed.,clothing
26,26,9802,"The shoe was great, well fitted with a dual look.  It can be wore up or fold down. durable and light",clothing
27,27,1971,"The robe is not very form fitting and the headpiece is made out of cheap thin foam so it doesnt stay up the way it should. I bought it but never actually used it, it didn't look that impressive on.  =[",clothing
28,28,6878,Super cute and confterble,clothing
29,29,406,"Amazon

Your review could not be posted.

Thanks for submitting a customer review on Amazon. Your review could not be posted to the website in its current form. While we appreciate your time and comments, reviews must adhere to the following guidelines:
http://www.amazon.com/review-guidelines
 Pistachio Women's Sun Flower Flowing Knee Length Summer Dress Medium (Us 8-10) Pink    from Deborah A Fonce on May 18, 2016

Beautiful dress

Beautifully made dress. Can't wait for warmer weather so I can wear it. Fits perfect.",clothing
30,30,8070,Perfect fit!,clothing
31,31,4865,fit just right,clothing
32,32,5522,Bought for my brother to use for school. He loves it alot,clothing
33,33,7340,"Fit perfect, my daughter loved them.  Great Shipping ,was on time.",clothing
34,34,5941,"I recently got a pair from a friend who was going to throw his pair away when he got a new one, and I fell in love with the Low Top style Chucks.  Before this, I had always worn the High Tops and never thought anything about getting the Low Tops. They are comfortable and match almost everything you throw at it. I get compliments every day when I wear them! They never go out of style, and only look better the older they get. These shoes last a very long time, and I am sure it will be another year or two before I have to buy myself a pair. I would recommend these shoes for anyone who loves staying fashionable and trendy for a cheap price.",clothing
35,35,4762,This is a great boot and my son loved it.  We live in Hawaii and went home for Thanksgiving to Idaho.  Since my son had never worn boots like this we were concerned he wouldn't do well with them.  But he really loved them and they survived two weeks in the rain and snow of Washington and Idaho.  And they looked great on him!  I definitely recommend them.,clothing
36,36,2716,My daughter loves her new shoes!,clothing
37,37,5650,No problems just ordered men's not women size,clothing
38,38,1103,We didn't read the description right so we were bummed when inflatable wings arrived. It lasted for the day and not sure where they ended up. Oh well,clothing
39,39,5992,Its converse...it came as expected but within a week of wear it started fading! I am a college gal so maybe walking across campus can be attributed to the fading but it shouldn't have happened that quickly! Gets super dirty too but what can you expect with white shoes? Other than that it was really comfortable and stylish shoes. Its been a year and I still have these shoes. Will be buying more.,clothing
40,40,8371,"...love the fit, love the color, love that they are comfortable!!",clothing
41,41,9516,good,clothing
42,42,5067,"No problems, very comfortable",clothing
43,43,6583,I love my red Chucks.  I wear them on Friday to support/represent the troops.,clothing
44,44,8235,Love 'em,clothing
45,45,2555,"Shoes fit - but I haven't even owned them a week, and the silver is already flaking off. Do NOT buy the gunmetal color, unless you're into the 'rustic' look.",clothing
46,46,5469,Love these shoes.,clothing
47,47,4543,Horrible experience. I will never use them again.,clothing
48,48,3519,"They're chucks, what else is there to say.",clothing
49,49,8557,Orders a 7 M received a 5M,clothing
50,50,2613,Classic pair of shoes that everyone has been wearing for years. Perfect.,clothing
51,51,2789,Fell apart only after a few months of wearing. I have owned converse for 9+ years and have had them last.,clothing
52,52,4094,Fake,clothing
